City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tandil,AR,-37.3217,-59.1332,78.01,10,0,3.0,clear sky
80,Chenzhou,CN,25.8,113.0333,38.41,66,0,3.27,clear sky
81,Port Lincoln,AU,-34.7333,135.8667,59.94,77,100,3.67,overcast clouds
82,Wrexham,GB,53.0,-3.0,34.0,80,0,1.14,clear sky
83,Avera,US,33.194,-82.5271,48.2,93,90,5.75,overcast clouds
84,Saint George,US,37.1041,-113.5841,37.4,32,1,3.44,clear sky
85,Fallon,US,39.4735,-118.7774,39.2,56,90,3.44,overcast clouds
86,Khatanga,RU,71.9667,102.5,-25.46,87,92,1.34,overcast clouds
87,Rio Grande,BR,-32.035,-52.0986,73.4,68,90,11.5,overcast clouds
88,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,85.19,69,100,1.83,light rain
89,Lusambo,CD,-4.9667,23.45,71.01,95,100,1.1,light rain
90,Buala,SB,-8.145,159.5921,78.49,80,100,2.91,overcast clouds
91,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,90,18.41,snow
92,Nanortalik,GL,60.1432,-45.2371,32.29,94,100,8.72,overcast clouds
93,Wairoa,NZ,-39.0333,177.3667,64.99,82,3,1.99,clear sky
94,Alekseyevsk,RU,57.8406,108.3492,-27.72,83,98,4.14,overcast clouds
95,Faanui,PF,-16.4833,-151.75,81.32,76,100,20.6,light rain
96,Kemin,KG,42.7846,75.6892,24.62,92,100,0.96,light snow
97,Wadi Maliz,TN,36.4681,8.5495,50.0,71,40,9.22,scattered clouds
98,Tongliao,CN,43.6125,122.2653,-1.95,88,64,8.1,broken clouds
99,Tyler,US,32.3513,-95.3011,50.0,46,1,6.91,clear sky
100,Saskylakh,RU,71.9167,114.0833,-26.86,84,97,4.81,overcast clouds
101,Hofn,IS,64.2539,-15.2082,31.57,90,99,10.98,overcast clouds
102,Airai,TL,-8.9266,125.4092,61.79,100,100,1.3,overcast clouds
103,Charleston,US,32.7766,-79.9309,53.01,82,90,8.05,overcast clouds
104,Esso,RU,55.9333,158.7,0.54,84,100,5.53,overcast clouds
105,Carnarvon,AU,-24.8667,113.6333,75.2,83,0,20.71,clear sky
106,Cidreira,BR,-30.1811,-50.2056,75.06,83,94,15.37,overcast clouds
107,Papar,MY,5.7333,115.9333,77.0,88,20,2.3,few clouds
108,Nieuw Amsterdam,SR,5.8833,-55.0833,86.0,66,40,13.8,scattered clouds
109,Sarmanovo,RU,55.2553,52.5891,-9.4,77,75,4.47,broken clouds
110,Okhotsk,RU,59.3833,143.3,-10.05,90,91,4.81,overcast clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,58,40,20.71,scattered clouds
112,Alwar,IN,27.5667,76.6,50.34,40,0,3.87,clear sky
113,Te Anau,NZ,-45.4167,167.7167,56.32,83,95,1.97,overcast clouds
114,Lieksa,FI,63.3167,30.0167,5.18,92,50,17.16,scattered clouds
115,Poum,NC,-20.2333,164.0167,81.95,81,47,12.19,light rain
116,Constitucion,CL,-35.3333,-72.4167,67.06,37,0,16.93,clear sky
117,Longyearbyen,SJ,78.2186,15.6401,26.6,80,75,10.36,broken clouds
118,Krasnoselkup,RU,65.7,82.4667,3.22,94,100,12.53,overcast clouds
119,Ust-Nera,RU,64.5667,143.2,-25.87,76,100,2.66,overcast clouds
120,Lisakovsk,KZ,52.5369,62.4936,-16.94,88,74,6.26,broken clouds
121,Pevek,RU,69.7008,170.3133,-31.47,86,99,0.6,overcast clouds
122,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,75,6.91,moderate rain
123,Naze,JP,28.3667,129.4833,49.59,68,30,12.12,scattered clouds
124,Narsaq,GL,60.9167,-46.05,41.0,48,75,6.91,broken clouds
125,Coihueco,CL,-36.6167,-71.8333,77.0,23,0,8.05,clear sky
126,Qaqortoq,GL,60.7167,-46.0333,41.0,48,75,6.91,broken clouds
127,Arica,CL,-18.475,-70.3042,75.2,57,0,14.97,clear sky
128,Cabra,ES,37.4725,-4.4421,41.0,75,0,3.22,clear sky
129,Kaitangata,NZ,-46.2817,169.8464,60.01,81,14,4.0,few clouds
130,El Astillero,ES,43.4009,-3.8205,48.0,76,75,5.75,broken clouds
131,Rongcheng,CN,30.634,117.8517,35.47,78,0,5.73,clear sky
132,Luderitz,NA,-26.6481,15.1594,69.82,67,4,22.7,clear sky
133,Chokurdakh,RU,70.6333,147.9167,-38.63,83,30,1.48,scattered clouds
134,Lujan,AR,-34.5703,-59.105,80.01,24,0,1.99,clear sky
135,Isangel,VU,-19.55,169.2667,81.82,76,100,4.63,overcast clouds
136,Nikolskoye,RU,59.7035,30.7861,12.2,79,90,20.13,snow
137,Kavaratti,IN,10.5669,72.642,79.27,76,100,27.13,overcast clouds
138,Korla,CN,41.7597,86.1469,16.34,85,8,2.39,clear sky
139,Takapau,NZ,-40.0333,176.35,60.01,90,40,1.01,scattered clouds
