City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bluff,NZ,2021-01-09 22:02:11,-46.6,168.3333,63.0,68,100,8.01
67,Fortuna,US,2021-01-09 22:00:20,40.5982,-124.1573,60.01,54,1,3.44
68,Virginia Beach,US,2021-01-09 22:00:35,36.8529,-75.978,43.0,45,11,1.01
69,Xuddur,SO,2021-01-09 22:02:11,4.1213,43.8894,72.25,47,0,16.55
70,Teocuitatlan De Corona,MX,2021-01-09 22:02:11,20.1167,-103.4,73.99,31,75,5.75
71,Pisco,PE,2021-01-09 22:02:11,-13.7,-76.2167,75.2,73,0,25.32
72,Pinawa,CA,2021-01-09 22:02:11,50.1489,-95.8811,23.47,97,65,5.14
73,Wanning,CN,2021-01-09 22:02:11,18.8003,110.3967,57.56,80,94,11.5
74,Georgetown,MY,2021-01-09 21:59:48,5.4112,100.3354,78.8,78,20,3.44
75,Acapulco,MX,2021-01-09 22:01:54,16.8634,-99.8901,84.2,70,40,8.05
76,New Norfolk,AU,2021-01-09 21:58:20,-42.7826,147.0587,66.0,65,11,1.01
77,Anadyr,RU,2021-01-09 22:02:11,64.75,177.4833,-29.0,68,20,8.95
78,Felanitx,ES,2021-01-09 22:02:11,39.4696,3.1483,53.6,82,40,14.97
79,Comodoro Rivadavia,AR,2021-01-09 22:00:13,-45.8667,-67.5,75.2,22,40,27.63
80,Basco,PH,2021-01-09 22:02:11,20.4487,121.9702,66.34,74,42,29.62
81,Mayo,US,2021-01-09 22:02:11,38.8876,-76.5119,43.0,52,1,9.22
82,Saint-Philippe,RE,2021-01-09 21:58:16,-21.3585,55.7679,75.2,83,20,4.61
83,Novomichurinsk,RU,2021-01-09 22:02:12,54.0384,39.7479,27.3,99,100,3.65
84,Whyalla,AU,2021-01-09 22:02:12,-33.0333,137.5833,69.8,68,0,7.05
85,Albany,US,2021-01-09 22:00:38,42.6001,-73.9662,30.0,55,100,7.52
86,Zalalovo,HU,2021-01-09 22:02:12,46.848,16.5875,28.99,100,90,2.3
87,Hambantota,LK,2021-01-09 22:02:12,6.1241,81.1185,73.4,100,40,3.44
88,Barrow,US,2021-01-09 22:01:11,71.2906,-156.7887,6.8,78,90,6.91
89,Turukhansk,RU,2021-01-09 22:02:12,65.8167,87.9833,-9.96,90,99,3.69
90,Chokurdakh,RU,2021-01-09 22:02:12,70.6333,147.9167,-28.57,86,100,2.08
91,Sangar,RU,2021-01-09 22:02:12,63.9242,127.4739,-39.89,81,99,2.86
